model,dataset,smell_name,model_language,target_language,n_test_samples,n_train_samples,accuracy,precision,recall,f1
Java_perceptron1_1000_gc,Java_FeatureEnvy_Test_1.csv,GodClass,Java,Java,500,1000,0.5019999742507935,1.0,0.004,0.00796812749003984
C#_perceptron1_1000_gc,Java_FeatureEnvy_Test_1.csv,GodClass,C#,Java,500,1000,0.49399998784065247,0.36363636363636365,0.016,0.030651340996168584
C++_perceptron1_1000_gc,Java_FeatureEnvy_Test_1.csv,GodClass,C++,Java,500,1000,0.5080000162124634,0.5666666666666667,0.068,0.12142857142857143
Python_perceptron1_1000_gc,Java_FeatureEnvy_Test_1.csv,GodClass,Python,Java,500,1000,0.5,0.5,0.004,0.007936507936507936
Java_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_OnlySwitch.csv,GodClass,Java,Java,500,1000,0.5139999985694885,1.0,0.028,0.054474708171206226
C#_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_OnlySwitch.csv,GodClass,C#,Java,500,1000,0.5180000066757202,0.8,0.048,0.09056603773584905
C++_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_OnlySwitch.csv,GodClass,C++,Java,500,1000,0.5220000147819519,0.6666666666666666,0.088,0.15547703180212014
Python_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_OnlySwitch.csv,GodClass,Python,Java,500,1000,0.5139999985694885,1.0,0.028,0.054474708171206226
Java_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,GodClass,Java,Java,500,1000,0.5540000200271606,0.9655172413793104,0.112,0.2007168458781362
C#_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,GodClass,C#,Java,500,1000,0.6539999842643738,0.963855421686747,0.32,0.4804804804804805
C++_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,GodClass,C++,Java,500,1000,0.5659999847412109,0.8367346938775511,0.164,0.274247491638796
Python_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,GodClass,Python,Java,500,1000,0.550000011920929,0.9629629629629629,0.104,0.18772563176895307
Java_perceptron1_1000_gc,Java_ComplexMethod_Test_ConditionalExpression.csv,GodClass,Java,Java,500,1000,0.5600000023841858,1.0,0.12,0.21428571428571425
C#_perceptron1_1000_gc,Java_ComplexMethod_Test_ConditionalExpression.csv,GodClass,C#,Java,500,1000,0.6159999966621399,0.967741935483871,0.24,0.38461538461538464
C++_perceptron1_1000_gc,Java_ComplexMethod_Test_ConditionalExpression.csv,GodClass,C++,Java,500,1000,0.5580000281333923,0.7735849056603774,0.164,0.2706270627062706
Python_perceptron1_1000_gc,Java_ComplexMethod_Test_ConditionalExpression.csv,GodClass,Python,Java,500,1000,0.5479999780654907,0.9,0.108,0.19285714285714284
Java_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_1.csv,GodClass,Java,Java,500,1000,0.5440000295639038,0.9583333333333334,0.092,0.16788321167883213
C#_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_1.csv,GodClass,C#,Java,500,1000,0.6240000128746033,0.9696969696969697,0.256,0.40506329113924056
C++_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_1.csv,GodClass,C++,Java,500,1000,0.5220000147819519,0.6170212765957447,0.116,0.19528619528619529
Python_perceptron1_1000_gc,JavaScript_ComplexMethod_Test_1.csv,GodClass,Python,Java,500,1000,0.5460000038146973,1.0,0.092,0.16849816849816848
Java_perceptron1_1000_gc,Java_DivergentChange_Test_1.csv,GodClass,Java,Java,500,1000,0.5199999809265137,0.9166666666666666,0.044,0.08396946564885496
C#_perceptron1_1000_gc,Java_DivergentChange_Test_1.csv,GodClass,C#,Java,500,1000,0.5260000228881836,0.7241379310344828,0.084,0.15053763440860218
C++_perceptron1_1000_gc,Java_DivergentChange_Test_1.csv,GodClass,C++,Java,500,1000,0.5199999809265137,0.6470588235294118,0.088,0.15492957746478875
Python_perceptron1_1000_gc,Java_DivergentChange_Test_1.csv,GodClass,Python,Java,500,1000,0.5180000066757202,0.9090909090909091,0.04,0.07662835249042145
Java_perceptron1_1000_gc,Java_ShotgunSurgery_Test_1.csv,GodClass,Java,Java,500,1000,0.5099999904632568,1.0,0.02,0.0392156862745098
C#_perceptron1_1000_gc,Java_ShotgunSurgery_Test_1.csv,GodClass,C#,Java,500,1000,0.5139999985694885,0.6842105263157895,0.052,0.0966542750929368
C++_perceptron1_1000_gc,Java_ShotgunSurgery_Test_1.csv,GodClass,C++,Java,500,1000,0.5019999742507935,0.5161290322580645,0.064,0.11387900355871886
Python_perceptron1_1000_gc,Java_ShotgunSurgery_Test_1.csv,GodClass,Python,Java,500,1000,0.5080000162124634,1.0,0.016,0.031496062992125984
Java_perceptron1_1000_gc,Java_LongMethod_Test_1.csv,GodClass,Java,Java,500,1000,0.5640000104904175,1.0,0.128,0.22695035460992907
C#_perceptron1_1000_gc,Java_LongMethod_Test_1.csv,GodClass,C#,Java,500,1000,0.656000018119812,0.9431818181818182,0.332,0.4911242603550296
C++_perceptron1_1000_gc,Java_LongMethod_Test_1.csv,GodClass,C++,Java,500,1000,0.578000009059906,0.782608695652174,0.216,0.3385579937304075
Python_perceptron1_1000_gc,Java_LongMethod_Test_1.csv,GodClass,Python,Java,500,1000,0.5680000185966492,1.0,0.136,0.23943661971830985
Java_perceptron1_1000_gc,Java_GodClass_Test_1.csv,GodClass,Java,Java,500,1000,0.8379999995231628,0.9941520467836257,0.68,0.8076009501187649
C#_perceptron1_1000_gc,Java_GodClass_Test_1.csv,GodClass,C#,Java,500,1000,0.8980000019073486,0.9344978165938864,0.856,0.893528183716075
C++_perceptron1_1000_gc,Java_GodClass_Test_1.csv,GodClass,C++,Java,500,1000,0.7699999809265137,0.8571428571428571,0.648,0.7380410022779043
Python_perceptron1_1000_gc,Java_GodClass_Test_1.csv,GodClass,Python,Java,500,1000,0.8299999833106995,0.9714285714285714,0.68,0.8
Java_perceptron1_1000_gc,Java_ComplexMethod_Test_1.csv,GodClass,Java,Java,500,1000,0.5199999809265137,1.0,0.04,0.07692307692307693
C#_perceptron1_1000_gc,Java_ComplexMethod_Test_1.csv,GodClass,C#,Java,500,1000,0.5619999766349792,0.8163265306122449,0.16,0.26755852842809363
C++_perceptron1_1000_gc,Java_ComplexMethod_Test_1.csv,GodClass,C++,Java,500,1000,0.550000011920929,0.7551020408163265,0.148,0.24749163879598662
Python_perceptron1_1000_gc,Java_ComplexMethod_Test_1.csv,GodClass,Python,Java,500,1000,0.5260000228881836,1.0,0.052,0.0988593155893536
Java_perceptron1_1000_gc,Java_ComplexMethod_Test_OnlySwitch.csv,GodClass,Java,Java,500,1000,0.5040000081062317,1.0,0.008,0.015873015873015872
C#_perceptron1_1000_gc,Java_ComplexMethod_Test_OnlySwitch.csv,GodClass,C#,Java,500,1000,0.5199999809265137,0.8571428571428571,0.048,0.09090909090909091
C++_perceptron1_1000_gc,Java_ComplexMethod_Test_OnlySwitch.csv,GodClass,C++,Java,500,1000,0.5120000243186951,0.5833333333333334,0.084,0.14685314685314688
Python_perceptron1_1000_gc,Java_ComplexMethod_Test_OnlySwitch.csv,GodClass,Python,Java,500,1000,0.5080000162124634,1.0,0.016,0.031496062992125984
Java_perceptron1_1000_lm,Java_FeatureEnvy_Test_1.csv,LongMethod,Java,Java,500,1000,0.5440000295639038,0.9230769230769231,0.096,0.17391304347826086
C#_perceptron1_1000_lm,Java_FeatureEnvy_Test_1.csv,LongMethod,C#,Java,500,1000,0.5680000185966492,0.925,0.148,0.25517241379310346
C++_perceptron1_1000_lm,Java_FeatureEnvy_Test_1.csv,LongMethod,C++,Java,500,1000,0.5220000147819519,0.8666666666666667,0.052,0.0981132075471698
Python_perceptron1_1000_lm,Java_FeatureEnvy_Test_1.csv,LongMethod,Python,Java,500,1000,0.5419999957084656,0.9565217391304348,0.088,0.16117216117216113
Java_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_OnlySwitch.csv,LongMethod,Java,Java,500,1000,0.5139999985694885,1.0,0.028,0.054474708171206226
C#_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_OnlySwitch.csv,LongMethod,C#,Java,500,1000,0.5199999809265137,1.0,0.04,0.07692307692307693
C++_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_OnlySwitch.csv,LongMethod,C++,Java,500,1000,0.527999997138977,1.0,0.056,0.10606060606060606
Python_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_OnlySwitch.csv,LongMethod,Python,Java,500,1000,0.5239999890327454,1.0,0.048,0.0916030534351145
Java_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,Java,Java,500,1000,0.7020000219345093,0.963302752293578,0.42,0.584958217270195
C#_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,C#,Java,500,1000,0.7559999823570251,0.9507042253521126,0.54,0.6887755102040817
C++_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,C++,Java,500,1000,0.6480000019073486,0.9302325581395349,0.32,0.4761904761904762
Python_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,Python,Java,500,1000,0.699999988079071,0.9310344827586207,0.432,0.5901639344262295
Java_perceptron1_1000_lm,Java_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,Java,Java,500,1000,0.7440000176429749,0.9841269841269841,0.496,0.6595744680851063
C#_perceptron1_1000_lm,Java_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,C#,Java,500,1000,0.7919999957084656,0.967948717948718,0.604,0.7438423645320197
C++_perceptron1_1000_lm,Java_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,C++,Java,500,1000,0.6240000128746033,0.984375,0.252,0.40127388535031844
Python_perceptron1_1000_lm,Java_ComplexMethod_Test_ConditionalExpression.csv,LongMethod,Python,Java,500,1000,0.7059999704360962,0.963963963963964,0.428,0.592797783933518
Java_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_1.csv,LongMethod,Java,Java,500,1000,0.6420000195503235,0.961038961038961,0.296,0.4525993883792049
C#_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_1.csv,LongMethod,C#,Java,500,1000,0.6940000057220459,0.9801980198019802,0.396,0.5641025641025642
C++_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_1.csv,LongMethod,C++,Java,500,1000,0.6399999856948853,0.972972972972973,0.288,0.4444444444444444
Python_perceptron1_1000_lm,JavaScript_ComplexMethod_Test_1.csv,LongMethod,Python,Java,500,1000,0.6600000262260437,0.9347826086956522,0.344,0.5029239766081871
Java_perceptron1_1000_lm,Java_DivergentChange_Test_1.csv,LongMethod,Java,Java,500,1000,0.6140000224113464,0.9672131147540983,0.236,0.37942122186495175
C#_perceptron1_1000_lm,Java_DivergentChange_Test_1.csv,LongMethod,C#,Java,500,1000,0.6380000114440918,0.96,0.288,0.443076923076923
C++_perceptron1_1000_lm,Java_DivergentChange_Test_1.csv,LongMethod,C++,Java,500,1000,0.5699999928474426,0.9487179487179487,0.148,0.2560553633217993
Python_perceptron1_1000_lm,Java_DivergentChange_Test_1.csv,LongMethod,Python,Java,500,1000,0.5960000157356262,0.9444444444444444,0.204,0.3355263157894737
Java_perceptron1_1000_lm,Java_ShotgunSurgery_Test_1.csv,LongMethod,Java,Java,500,1000,0.5640000104904175,0.9705882352941176,0.132,0.2323943661971831
C#_perceptron1_1000_lm,Java_ShotgunSurgery_Test_1.csv,LongMethod,C#,Java,500,1000,0.5839999914169312,1.0,0.168,0.28767123287671237
C++_perceptron1_1000_lm,Java_ShotgunSurgery_Test_1.csv,LongMethod,C++,Java,500,1000,0.5400000214576721,1.0,0.08,0.14814814814814814
Python_perceptron1_1000_lm,Java_ShotgunSurgery_Test_1.csv,LongMethod,Python,Java,500,1000,0.5619999766349792,0.9696969696969697,0.128,0.22614840989399293
Java_perceptron1_1000_lm,Java_LongMethod_Test_1.csv,LongMethod,Java,Java,500,1000,0.8659999966621399,1.0,0.732,0.8452655889145496
C#_perceptron1_1000_lm,Java_LongMethod_Test_1.csv,LongMethod,C#,Java,500,1000,0.921999990940094,0.9953051643192489,0.848,0.9157667386609072
C++_perceptron1_1000_lm,Java_LongMethod_Test_1.csv,LongMethod,C++,Java,500,1000,0.7519999742507935,1.0,0.504,0.6702127659574468
Python_perceptron1_1000_lm,Java_LongMethod_Test_1.csv,LongMethod,Python,Java,500,1000,0.7879999876022339,0.9931506849315068,0.58,0.7323232323232324
Java_perceptron1_1000_lm,Java_GodClass_Test_1.csv,LongMethod,Java,Java,500,1000,0.8899999856948853,0.9333333333333333,0.84,0.8842105263157894
C#_perceptron1_1000_lm,Java_GodClass_Test_1.csv,LongMethod,C#,Java,500,1000,0.9039999842643738,0.8686131386861314,0.952,0.9083969465648856
C++_perceptron1_1000_lm,Java_GodClass_Test_1.csv,LongMethod,C++,Java,500,1000,0.8740000128746033,0.9192825112107623,0.82,0.8668076109936574
Python_perceptron1_1000_lm,Java_GodClass_Test_1.csv,LongMethod,Python,Java,500,1000,0.8460000157356262,0.8559670781893004,0.832,0.8438133874239351
Java_perceptron1_1000_lm,Java_ComplexMethod_Test_1.csv,LongMethod,Java,Java,500,1000,0.6240000128746033,1.0,0.248,0.3974358974358974
C#_perceptron1_1000_lm,Java_ComplexMethod_Test_1.csv,LongMethod,C#,Java,500,1000,0.6579999923706055,0.9759036144578314,0.324,0.4864864864864865
C++_perceptron1_1000_lm,Java_ComplexMethod_Test_1.csv,LongMethod,C++,Java,500,1000,0.5839999914169312,1.0,0.168,0.28767123287671237
Python_perceptron1_1000_lm,Java_ComplexMethod_Test_1.csv,LongMethod,Python,Java,500,1000,0.6159999966621399,0.9833333333333333,0.236,0.3806451612903226
Java_perceptron1_1000_lm,Java_ComplexMethod_Test_OnlySwitch.csv,LongMethod,Java,Java,500,1000,0.5199999809265137,0.9166666666666666,0.044,0.08396946564885496
C#_perceptron1_1000_lm,Java_ComplexMethod_Test_OnlySwitch.csv,LongMethod,C#,Java,500,1000,0.5120000243186951,0.875,0.028,0.05426356589147287
C++_perceptron1_1000_lm,Java_ComplexMethod_Test_OnlySwitch.csv,LongMethod,C++,Java,500,1000,0.5220000147819519,1.0,0.044,0.08429118773946359
Python_perceptron1_1000_lm,Java_ComplexMethod_Test_OnlySwitch.csv,LongMethod,Python,Java,500,1000,0.5120000243186951,0.875,0.028,0.05426356589147287
Java_perceptron1_1000_ss,Java_FeatureEnvy_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.75,0.9194630872483222,0.548,0.6867167919799498
C#_perceptron1_1000_ss,Java_FeatureEnvy_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.7760000228881836,0.8876404494382022,0.632,0.7383177570093459
C++_perceptron1_1000_ss,Java_FeatureEnvy_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.6840000152587891,0.8108108108108109,0.48,0.6030150753768844
Java_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_OnlySwitch.csv,ShotgunSurgery,Java,Java,500,1000,0.5320000052452087,0.8333333333333334,0.08,0.145985401459854
C#_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_OnlySwitch.csv,ShotgunSurgery,C#,Java,500,1000,0.5040000081062317,0.5833333333333334,0.028,0.05343511450381679
C++_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_OnlySwitch.csv,ShotgunSurgery,C++,Java,500,1000,0.6159999966621399,0.8536585365853658,0.28,0.4216867469879518
Java_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,ShotgunSurgery,Java,Java,500,1000,0.6980000138282776,0.7124463519313304,0.664,0.6873706004140787
C#_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,ShotgunSurgery,C#,Java,500,1000,0.7099999785423279,0.7560975609756098,0.62,0.6813186813186813
C++_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,ShotgunSurgery,C++,Java,500,1000,0.7400000095367432,0.8,0.64,0.7111111111111111
Java_perceptron1_1000_ss,Java_ComplexMethod_Test_ConditionalExpression.csv,ShotgunSurgery,Java,Java,500,1000,0.8299999833106995,0.8066914498141264,0.868,0.836223506743738
C#_perceptron1_1000_ss,Java_ComplexMethod_Test_ConditionalExpression.csv,ShotgunSurgery,C#,Java,500,1000,0.8059999942779541,0.7722419928825622,0.868,0.8173258003766478
C++_perceptron1_1000_ss,Java_ComplexMethod_Test_ConditionalExpression.csv,ShotgunSurgery,C++,Java,500,1000,0.7860000133514404,0.7942386831275721,0.772,0.7829614604462476
Java_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.7599999904632568,0.8869047619047619,0.596,0.7129186602870812
C#_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.6959999799728394,0.85,0.476,0.6102564102564102
C++_perceptron1_1000_ss,JavaScript_ComplexMethod_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.7459999918937683,0.847457627118644,0.6,0.7025761124121779
Java_perceptron1_1000_ss,Java_DivergentChange_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.800000011920929,0.9310344827586207,0.648,0.7641509433962264
C#_perceptron1_1000_ss,Java_DivergentChange_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.7879999876022339,0.8913043478260869,0.656,0.7557603686635944
C++_perceptron1_1000_ss,Java_DivergentChange_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.7760000228881836,0.9011627906976745,0.62,0.7345971563981044
Java_perceptron1_1000_ss,Java_ShotgunSurgery_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.8159999847412109,0.9388888888888889,0.676,0.7860465116279071
C#_perceptron1_1000_ss,Java_ShotgunSurgery_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.8259999752044678,0.9137055837563451,0.72,0.8053691275167786
C++_perceptron1_1000_ss,Java_ShotgunSurgery_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.7279999852180481,0.8433734939759037,0.56,0.6730769230769231
Java_perceptron1_1000_ss,Java_LongMethod_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.9120000004768372,0.9557522123893806,0.864,0.907563025210084
C#_perceptron1_1000_ss,Java_LongMethod_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.9020000100135803,0.9313304721030042,0.868,0.8985507246376812
C++_perceptron1_1000_ss,Java_LongMethod_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.8939999938011169,0.9020408163265307,0.884,0.8929292929292929
Java_perceptron1_1000_ss,Java_GodClass_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.7440000176429749,0.6826347305389222,0.912,0.7808219178082191
C#_perceptron1_1000_ss,Java_GodClass_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.7260000109672546,0.6547945205479452,0.956,0.7772357723577237
C++_perceptron1_1000_ss,Java_GodClass_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.5979999899864197,0.5623409669211196,0.884,0.687402799377916
Java_perceptron1_1000_ss,Java_ComplexMethod_Test_1.csv,ShotgunSurgery,Java,Java,500,1000,0.8500000238418579,0.9396984924623115,0.748,0.8329621380846325
C#_perceptron1_1000_ss,Java_ComplexMethod_Test_1.csv,ShotgunSurgery,C#,Java,500,1000,0.8379999995231628,0.9121951219512195,0.748,0.8219780219780219
C++_perceptron1_1000_ss,Java_ComplexMethod_Test_1.csv,ShotgunSurgery,C++,Java,500,1000,0.8019999861717224,0.8994708994708994,0.68,0.7744874715261959
Java_perceptron1_1000_ss,Java_ComplexMethod_Test_OnlySwitch.csv,ShotgunSurgery,Java,Java,500,1000,0.5619999766349792,0.7627118644067796,0.18,0.29126213592233013
C#_perceptron1_1000_ss,Java_ComplexMethod_Test_OnlySwitch.csv,ShotgunSurgery,C#,Java,500,1000,0.5,0.5,0.064,0.11347517730496454
C++_perceptron1_1000_ss,Java_ComplexMethod_Test_OnlySwitch.csv,ShotgunSurgery,C++,Java,500,1000,0.5559999942779541,0.6666666666666666,0.224,0.33532934131736525
Java_perceptron1_1000_fe,Java_FeatureEnvy_Test_1.csv,FeatureEnvy,Java,Java,500,1000,0.6919999718666077,0.9363636363636364,0.412,0.5722222222222222
C#_perceptron1_1000_fe,Java_FeatureEnvy_Test_1.csv,FeatureEnvy,C#,Java,500,1000,0.7459999918937683,0.9241379310344827,0.536,0.6784810126582278
C++_perceptron1_1000_fe,Java_FeatureEnvy_Test_1.csv,FeatureEnvy,C++,Java,500,1000,0.628000020980835,0.82,0.328,0.4685714285714286
Java_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_OnlySwitch.csv,FeatureEnvy,Java,Java,500,1000,0.5479999780654907,0.8529411764705882,0.116,0.2042253521126761
C#_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_OnlySwitch.csv,FeatureEnvy,C#,Java,500,1000,0.5040000081062317,0.6,0.024,0.04615384615384615
C++_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_OnlySwitch.csv,FeatureEnvy,C++,Java,500,1000,0.5059999823570251,0.5714285714285714,0.048,0.08856088560885608
Java_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,FeatureEnvy,Java,Java,500,1000,0.7200000286102295,0.8055555555555556,0.58,0.6744186046511629
C#_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,FeatureEnvy,C#,Java,500,1000,0.6700000166893005,0.7891156462585034,0.464,0.584382871536524
C++_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_ConditionalExpression.csv,FeatureEnvy,C++,Java,500,1000,0.5960000157356262,0.7926829268292683,0.26,0.391566265060241
Java_perceptron1_1000_fe,Java_ComplexMethod_Test_ConditionalExpression.csv,FeatureEnvy,Java,Java,500,1000,0.7900000214576721,0.8372093023255814,0.72,0.7741935483870969
C#_perceptron1_1000_fe,Java_ComplexMethod_Test_ConditionalExpression.csv,FeatureEnvy,C#,Java,500,1000,0.8399999737739563,0.8455284552845529,0.832,0.8387096774193549
C++_perceptron1_1000_fe,Java_ComplexMethod_Test_ConditionalExpression.csv,FeatureEnvy,C++,Java,500,1000,0.6539999842643738,0.7894736842105263,0.42,0.5483028720626631
Java_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_1.csv,FeatureEnvy,Java,Java,500,1000,0.7020000219345093,0.8854961832061069,0.464,0.6089238845144357
C#_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_1.csv,FeatureEnvy,C#,Java,500,1000,0.6639999747276306,0.8867924528301887,0.376,0.5280898876404495
C++_perceptron1_1000_fe,JavaScript_ComplexMethod_Test_1.csv,FeatureEnvy,C++,Java,500,1000,0.628000020980835,0.9210526315789473,0.28,0.4294478527607362
